size,cl,dout,din
Rhonealpesinfo.fr,8,5,5
Lescrutateur.com,8,118,4
Spi0n.com,8,0,4
Borislelay.com,8,16,3
A-Droite-Fierement.fr,8,34,2
Monopinionlibre.blogspot.com,8,81,0
Positivr.fr,9,36,29
Lesbrindherbes.org,9,58,23
2012un-Nouveau-Paradigme.com,9,99,21
Sante-Nutrition.org,9,74,21
Ipsn.eu,9,0,20
Professeur-Joyeux.com,9,12,20
Santenatureinnovation.com,9,0,20
Alternativesante.fr,9,2,19
Espritsciencemetaphysiques.com,9,3,19
Quenelplus.com,9,0,15
fr.Awdnews.com,9,0,12
Lesmoutonsrebelles.com,9,73,11
mk-polis2.Eklablog.com,9,0,10
Morpheus.fr,9,0,9
henrymakow.Wordpress.com,9,2,8
Arcturius.org,9,0,6
Diktacratie.com,9,10,6
Freewiseman.com,9,24,5
artdevivresain.Over-Blog.com,9,50,4
Lapressegalactique.com,9,5,4
Revolutionvibratoire.fr,9,80,3
Voltairenet.org,10,18,49
Legrandsoir.info,10,67,46
Mrmondialisation.org,10,16,31
Oumma.com,10,32,30
russeurope.Hypotheses.org,10,20,28
Conspiracywatch.info,10,41,25
Agenceinfolibre.fr,10,0,24
La-Chronique-Agora.com,10,11,21
Lelibrepenseur.org,10,50,21
Cercledesvolontaires.fr,10,68,20
Investigaction.net,10,0,20
Pauljorion.com,10,101,18
Korben.info,10,42,17
Leseconoclastes.fr,10,22,17
Informaction.info,10,63,16
Lenouveleconomiste.fr,10,1,16
Lejournaldusiecle.com,10,0,16
Resistanceauthentique.net,10,8,11
Echelledejacob.blogspot.com,10,9,9
Antipresse.net,10,0,8
Jeune-Nation.com,10,47,8
Info-Contre-Info.fr,10,43,7
monde.Taibaweb.com,10,45,5
Bravepatrie.com,10,27,4
Scienceinfo.fr,10,9,3
L-Echo.info,10,2,2
Agoravox.fr,11,148,77
Egaliteetreconciliation.fr,11,190,55
Reseauinternational.net,11,127,51
Les-Crises.fr,11,163,50
Alterinfo.net,11,83,46
Lesmoutonsenrages.fr,11,140,45
Agoravox.tv,11,80,43
Wikistrike.com,11,159,43
Stopmensonges.com,11,0,34
Nouvelordremondial.cc,11,172,33
fr.Sott.net,11,126,33
Businessbourse.com,11,83,32
Arretsurinfo.ch,11,107,29
Fawkes-News.com,11,213,28
Initiativecitoyenne.be,11,102,20
Ilfattoquotidiano.fr,11,45,17
Brujitafr.fr,11,142,15
etienne.chouard.Free.fr,11,98,14
Leblogalupus.com,11,147,14
Tariqramadan.com,11,7,7
Informations-En-Direct-France.com,11,95,5
citoyenveilleur.Canalblog.com,11,161,4
Alalumieredunouveaumonde.blogspot.com,11,229,3
chaoscontrole.Canalblog.com,11,185,2
Infoetsecret.com,11,126,2
Laminedinfos.fr,11,86,2
Ojim.fr,12,222,39
blog.Lefigaro.fr,12,283,30
Charliehebdo.fr,12,0,13
El-Manchar.com,12,2,11
Reforme.net,12,0,9
francaisdefrance.Wordpress.com,12,233,7
Islamisme.fr,12,0,6
Rivarol.com,12,0,5
premium.Lefigaro.fr /.../le-scan-eco,12,0,2
